Pharmaceutical,Prescribed_Daily_Dosage,Num_Prescriptions,SMILES,INCHIKEY,INCHI_STRING,Molar_Mass,MOLECULAR_FORMULA,Boiling.Point,Density,Flash.Point,Henry.s.Law,Index.of.Refraction,liquid.chromatography.Retention.Time,LogD5.5,LogD7.4,LogKoa.Octanol.Air,LogKow.Octanol.Water,Melting.Point,Molar.Refractivity,Molar.Volume,pKa.Acidic.Apparent,pKa.Basic.Apparent,Polarizability,ReadyBiodeg,Surface.Tension,Thermal.Conductivity,Vapor.Pressure,Viscosity,Water.Solubility,Invertebrate_Median_LC50,Plants_Algae_Median_LC50,Vertebrate_Median_LC50,Min_Vertebrate_LC50,Invertebrate_median_NOEC,Plants_algae_median_NOEC,Vertebrate_median_NOEC,Min_Vertebrate_NOEC,Amides,Ethers,Tertiary amines,Alkyl halides,Secondary amines,Aliphatic alcohols,Aromatic alcohols,Carboxylic acids,Sulfonamides,Primary amines,Ureas,Esters,Nitriles,Ketones,Sulfides,Carbamates,Sulfones,Guanidines,Amidines,Thiols,Imines,Imides
FLUCONAZOLE,26994435.1139889,264,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,RFHAOTPXVQNOHP-UHFFFAOYSA-N,"InChI=1S/C13H12F2N6O/c14-10-1-2-11(12(15)3-10)13(22,4-20-8-16-6-18-20)5-21-9-17-7-19-21/h1-3,6-9,22H,4-5H2
",306.277,C13H12F2N6O,409.094,1.468,273.564,7.58577575029185e-09,1.663,5.6,0.5,0.5,10.05,0.5,139.0,76.064,205.266,,2.12,30.154,0.0,55.431,,8.7096358995608e-10,,0.00354581,593945.0,,4910.0,4910.0,28713.25,3061.375,200.0,200.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZONISAMIDE,25927819.5488722,94,NS(=O)(=O)CC1=NOC2=C1C=CC=C2,UBQNRHZMVUUOMG-UHFFFAOYSA-N,"InChI=1S/C8H8N2O3S/c9-14(11,12)5-7-6-3-1-2-4-8(6)13-10-7/h1-4H,5H2,(H2,9,11,12)
",212.22,C8H8N2O3S,367.26,1.436,219.3095,1.14815362149688e-08,1.656,5.4,0.48,0.27,8.62,0.4065,163.7385,51.661,140.588,7.61,,20.48,0.0,71.118,,1.51e-08,,0.0350378416120083,,,,,,,,,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MELOXICAM,25805064.6842964,1914,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O,ZRVUJXDFFKFLMG-UHFFFAOYSA-N,"InChI=1S/C14H13N3O4S2/c1-8-7-15-14(22-8)16-13(19)11-12(18)9-5-3-4-6-10(9)23(20,21)17(11)2/h3-7,18H,1-2H3,(H,15,16,19)
",351.4,C14H13N3O4S2,479.34,1.563,283.541,9.77237220955811e-11,1.72,9.51,1.62,-0.27,10.42,3.43,254.0,85.956,217.724,3.7,,34.076,0.0,85.325,,1.11260492930499e-10,,0.0005308818855513,,,,,,,100.0,100.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TICAGRELOR,25627831.5789474,145,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=N1,OEKWJQXRCDYSHL-FNOIDJSQSA-N,"InChI=1S/C23H28F2N6O4S/c1-2-7-36-23-27-21(26-15-9-12(15)11-3-4-13(24)14(25)8-11)18-22(28-23)31(30-29-18)16-10-17(35-6-5-32)20(34)19(16)33/h3-4,8,12,15-17,19-20,32-34H,2,5-7,9-10H2,1H3,(H,26,27,28)/t12-,15+,16+,17-,19-,20+/m0/s1
",522.57,C23H28F2N6O4S,165.0,522.568,5.0,1.47910838816821e-11,760.0,20.04,2.79,2.8,9.47,2.8,222.0,25.0,0.639,,3.57,0.306,0.0,0.056,,1.0000000000456,,25.0426815390274,,,,,,,,,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CANAGLIFLOZIN,22952088.7055183,107,CC1=C(CC2=CC=C(S2)C2=CC=C(F)C=C2)C=C(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,"InChI=1S/C24H25FO5S/c1-13-2-3-15(24-23(29)22(28)21(27)19(12-26)30-24)10-16(13)11-18-8-9-20(31-18)14-4-6-17(25)7-5-14/h2-10,19,21-24,26-29H,11-12H2,1H3/t19-,21-,22+,23-,24+/m1/s1
",444.52,C24H25FO5S,198.0,444.516,4.0,1.69824365246175e-10,760.0,18.63,2.92,2.75,9.45,3.755,241.0,25.0,0.774,7.71,,0.194,0.0,0.032,,0.50000000021329,,23.2345088913971,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPICILLIN,22571428.5714286,14,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,AVKUERGKIZMTKX-NJBDSQKTSA-N,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/t9-,10-,11+,14-/m1/s1
",349.41,C16H19N3O4S,547.9235,1.463,362.212,1.5135612484362098e-11,1.675,2.71,1.19,-0.2,9.34,1.35,208.0,89.946,239.337,5.86,,35.658,0.0,74.317,,5.06991e-11,,0.0288,127800.0,,1000000.0,1000000.0,55000.0,12.5,,,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
ETODOLAC,22435646.9002695,27,CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O,NNYBQONXHNTVIJ-UHFFFAOYSA-N,"InChI=1/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)
",287.359,C17H21NO3,458.273,1.2345,263.946,1.38038426460289e-09,1.597,12.35,4.87,4.88,9.2,3.7615,146.75,81.981,240.762,4.88,3.68,32.5,0.0,53.963,,6.09537e-10,,0.000330718,,,,,,,,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESOMEPRAZOLE,21718702.3809524,531,COC1=CC2=C(C=C1)N=C(N2)[S@@](=O)CC1=NC=C(C)C(OC)=C1C,SUBDBMMJDZJVOS-DEOSSOPVSA-N,"InChI=1S/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20)/t24-/m0/s1
",345.42,C17H19N3O3S,484.9955,1.4385,306.658,3.54813389233575e-06,1.669,10.61,2.28,2.28,10.29,2.173,170.5365,94.021,251.869,,2.18,37.273,0.0,75.182,,3.70655238150459e-08,,0.0002511886431509,,,,,,,,,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MORPHINE,21675500.5555429,354,CN1CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@@H]2C=C[C@@H]4O)=C35,BQJCRHHNABKAKU-KBQPJGBKSA-N,"InChI=1S/C17H19NO3/c1-18-7-6-17-10-3-5-13(20)16(17)21-15-12(19)4-2-9(14(15)17)8-11(10)18/h2-5,10-11,13,16,19-20H,6-8H2,1H3/t10-,11+,13-,16-,17-/m0/s1
",285.343,C17H19NO3,423.6805,1.422,229.95,7.58577575029185e-11,1.719,9.14,-1.67,0.14,9.18,0.72,227.093,78.022,197.647,9.85,8.06,30.93,0.0,72.878,,2.04173794466953e-09,,0.0025903337301248,,,,,,,100625.0,1250.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHENAZOPYRIDINE,21051412.4293785,43,NC1=CC=C(N=NC2=CC=CC=C2)C(N)=N1,QPFYXYFORQJZEC-UHFFFAOYSA-N,"InChI=1S/C11H11N5/c12-10-7-6-9(11(13)14-10)16-15-8-4-2-1-3-5-8/h1-7H,(H4,12,13,14)
",213.244,C11H11N5,381.1945,1.2935,226.117,2.23872113856834e-08,1.688,10.06,1.4,1.92,8.19,2.7365,141.065,61.132,160.373,,5.88,24.235,0.0,58.26,,2.75422870333816e-09,,0.0001122018454301,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LOVASTATIN,21021010.2352428,758,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,PCZOHLXUXFIOCF-BXMDZJJMSA-N,"InChI=1S/C24H36O5/c1-5-15(3)24(27)29-21-11-14(2)10-17-7-6-16(4)20(23(17)21)9-8-19-12-18(25)13-22(26)28-19/h6-7,10,14-16,18-21,23,25H,5,8-9,11-13H2,1-4H3/t14-,15-,16-,18+,19+,20-,21-,23-/m0/s1
",404.547,C24H36O5,486.4405,1.1405,213.4655,3.16227766016838e-08,1.532,22.83,1.38,3.24,10.35,4.26,174.75,111.711,360.626,,8.38,44.286,0.0,43.513,,6.72977e-09,,5.28245e-06,,,,,1.0,20.0,5008.09095,16.1819,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BACLOFEN,20470790.7756051,606,NCC(CC(O)=O)C1=CC=C(Cl)C=C1,KPYSYYIEGFHWSV-UHFFFAOYSA-N,"InChI=1/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)
",213.66,C10H12ClNO2,350.2325,1.292,177.299,1.8620871366628701e-09,1.577,5.77,-2.35,-4.23,8.12,-0.95,207.0,55.066,166.266,4.12,,21.83,1.0,53.088,164.815,4.09261e-06,29.0402,0.018,,,,,21366.4,,7050.78,7050.78,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PROMETHAZINE,20047555.1978013,221,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,PWWVAXIEGOYWEE-UHFFFAOYSA-N,"InChI=1/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3
",284.42,C17H20N2S,387.3005,1.1235,198.7775,7.41310241300918e-06,1.616,14.92,4.7,4.81,9.27,4.782,60.0,87.818,251.334,,6.815,34.814,0.0,44.114,,5.52823909807159e-07,,5.01e-05,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DICYCLOMINE,20015740.2433483,364,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,CURUTKGFNZGFSE-UHFFFAOYSA-N,"InChI=1S/C19H35NO2/c1-3-20(4-2)15-16-22-18(21)19(13-9-6-10-14-19)17-11-7-5-8-12-17/h17H,3-16H2,1-2H3
",309.494,C19H35NO2,361.321,0.971,125.977,1.14815362149688e-07,1.495,26.12,1.11,3.0,9.65,5.6505,114.17,91.126,312.389,,8.9,36.125,0.0,35.7665,144.565,2.51188643150958e-06,10.7647,0.000281838,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ALENDRONATE,19751628.219492,773,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,OGSPWJRAVKPPFI-UHFFFAOYSA-N,"InChI=1S/C4H13NO7P2/c5-3-1-2-4(6,13(7,8)9)14(10,11)12/h6H,1-3,5H2,(H2,7,8,9)(H2,10,11,12)
",249.096,C4H13NO7P2,425.5,1.8395,283.363,1.3489628825916598e-11,1.594,0.0,-2.9,-4.79,9.52,-2.413,232.0,45.504,134.112,3.92,,18.039,1.0,119.365,,1.3151344319476898e-11,,1.72,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SOTALOL,19535127.1534044,96,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,ZBMZVLHSJCTVON-UHFFFAOYSA-N,"InChI=1/C12H20N2O3S/c1-9(2)13-8-12(15)10-4-6-11(7-5-10)14-18(3,16)17/h4-7,9,12-15H,8H2,1-3H3
",272.36,C12H20N2O3S,407.42,1.2445,222.9375,1.8620871366628701e-09,1.571,9.74,0.24,0.16,8.54,0.317,206.75,72.137,219.707,8.12,,28.597,0.0,50.621,,1.22e-08,,0.0129325066259517,,,,,,,272.362,272.362,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MODAFINIL,19001626.0162602,85,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,YFGHCGITMMYXAQ-UHFFFAOYSA-N,"InChI=1/C15H15NO2S/c16-14(17)11-19(18)15(12-7-3-1-4-8-12)13-9-5-2-6-10-13/h1-10,15H,11H2,(H2,16,17)
",273.35,C15H15NO2S,420.469,1.25,271.8445,2.34422881531992e-09,1.646,13.01,2.4,2.29,10.53,1.2675,165.0,77.263,212.898,7.95,,30.63,0.0,63.754,,6.760829753919821e-09,93.3254,0.0020111395,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUMATRIPTAN,18683910.9520965,477,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,KQKPFRSPSRPDEB-UHFFFAOYSA-N,"InChI=1S/C14H21N3O2S/c1-15-20(18,19)10-11-4-5-14-13(8-11)12(9-16-14)6-7-17(2)3/h4-5,8-9,15-16H,6-7,10H2,1-3H3
",295.4,C14H21N3O2S,454.08,1.264,251.427,2.04173794466953e-08,1.61,7.69,0.93,0.93,9.17,0.93,170.0,82.359,237.622,10.22,,32.65,1.0,52.723,,4.83e-10,,0.0019744814412958,,,,,,,,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MINOCYCLINE,18663237.8223496,122,CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O,DYKFCLLONBREIL-KVUCHLLUSA-N,"InChI=1S/C23H27N3O7/c1-25(2)12-5-6-13(27)15-10(12)7-9-8-11-17(26(3)4)19(29)16(22(24)32)21(31)23(11,33)20(30)14(9)18(15)28/h5-6,9,11,17,27,29-30,33H,7-8H2,1-4H3,(H2,24,32)/t9-,11-,17-,23-/m0/s1
",457.483,C23H27N3O7,686.68,1.594,437.1465,1.0964781961431799e-11,1.718,4.44,0.04,-0.37,9.44,-0.063,258.633,116.049,294.562,7.18,,46.006,0.0,90.043,,1.59956e-15,,0.112201845430196,,,,,,,,,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CODEINE,18617536.9253172,48,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,OROGSEYTTFOCAN-DNJOTXNNSA-N,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1
",299.37,C18H21NO3,416.6445,1.3325,228.397,8.128305161640991e-09,1.667,9.52,-1.31,0.48,11.31,1.199,157.5,82.858,222.602,,7.95,32.848,0.0,60.522,,3.2359365692962804e-09,,0.0301995,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAROXETINE,18492452.1810762,814,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC=C2OCOC2=C1,AHOUBRCZNHFOSL-YOEHRIQHSA-N,"InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2/t14-,17-/m0/s1
",329.371,C19H20FNO3,430.494,1.243,233.103,4.26579518801593e-07,1.561,17.46,-1.38,0.52,10.8,3.7845,136.514,87.949,271.517,,10.25,34.866,0.0,45.513,147.155,2.39e-08,46.8813,6.48829e-05,580.0,,,,16743.55,,3310.17855,2000.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLIPIZIDE,18232662.6715303,1437,CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,ZJJXGWJIGJFDTL-UHFFFAOYSA-N,"InChI=1S/C21H27N5O4S/c1-15-13-24-19(14-23-15)20(27)22-12-11-16-7-9-18(10-8-16)31(29,30)26-21(28)25-17-5-3-2-4-6-17/h7-10,13-14,17H,2-6,11-12H2,1H3,(H,22,27)(H2,25,26,28)
",445.54,C21H27N5O4S,485.0,1.3685,359.968,8.511380382023759e-11,1.616,18.2,1.7,0.2,9.44,1.91,208.25,115.928,331.899,5.7,,45.957,0.0,66.846,,3.7611232065045803e-10,,4.33334e-05,,,,,,,,,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
RIVAROXABAN,16661290.8450371,866,ClC1=CC=C(S1)C(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,KGFYHTZWPPHNLQ-YQTOOIBONA-N,"InChI=1/C19H18ClN3O5S/c20-16-6-5-15(29-16)18(25)21-9-14-10-23(19(26)28-14)13-3-1-12(2-4-13)22-7-8-27-11-17(22)24/h1-6,14H,7-11H2,(H,21,25)/t14-/s2
",435.88,C19H18ClN3O5S,389.0,,,2.95120922666639e-10,,14.57,2.07,2.08,10.18,2.08,164.0,,,,3.94,,0.0,,,1.25892541179417e-08,,4.07380277804113e-05,,,,,,,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DESVENLAFAXINE,16148378.1476739,250,CN(C)CC(C1=CC=C(O)C=C1)C1(O)CCCCC1,KYYIDSXMWOZKMP-UHFFFAOYSA-N,"InChI=1/C16H25NO2/c1-17(2)12-15(13-6-8-14(18)9-7-13)16(19)10-4-3-5-11-16/h6-9,15,18-19H,3-5,10-12H2,1-2H3
",263.381,C16H25NO2,327.611,1.115,191.4095,4.78630092322638e-07,1.573,14.43,-1.86,0.04,9.03,2.46,128.375,77.837,236.125,,9.82,30.857,0.0,45.189,150.963,3.03e-07,22.182,0.0162181009735893,,,,,,,,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRIMIDONE,14702368.5694287,142,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,DQMZLTXERSFNPB-UHFFFAOYSA-N,"InChI=1S/C12H14N2O2/c1-2-12(9-6-4-3-5-7-9)10(15)13-8-14-11(12)16/h3-7H,2,8H2,1H3,(H,13,15)(H,14,16)
",218.256,C12H14N2O2,419.194,1.167,205.7775,4.26579518801593e-10,1.529,8.84,0.91,0.86,9.01,0.82,281.0,59.08,191.702,8.36,,23.421,0.0,38.548,164.894,1.76604e-08,,0.00229087,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MIRTAZAPINE,14656073.7075771,585,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,RONZAEMNMFQXRA-UHFFFAOYSA-N,"InChI=1/C17H19N3/c1-19-9-10-20-16(12-19)15-7-3-2-5-13(15)11-14-6-4-8-18-17(14)20/h2-8,16H,9-12H2,1H3
",265.36,C17H19N3,362.762,1.1745,205.769,1.51356124843621e-06,1.668,11.15,-0.33,1.25,8.52,2.8885,129.4345,80.687,216.58,,7.35,31.987,0.0,59.482,,1.11e-07,,0.0003259191465632,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHLORTHALIDONE,13052327.4917853,519,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,JIVPVXMEBJLZRO-UHFFFAOYSA-N,"InChI=1/C14H11ClN2O4S/c15-11-6-5-8(7-12(11)22(16,20)21)14(19)10-4-2-1-3-9(10)13(18)17-14/h1-7,19H,(H,17,18)(H2,16,20,21)
",338.76,C14H11ClN2O4S,416.92,1.5665,317.993,2.18776162394955e-11,1.694,5.99,0.85,0.61,9.27,0.85,239.0,81.25,211.556,7.54,,32.21,0.0,72.719,,4.02834861047791e-10,,0.000354242,,,,,,,,,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
EMPAGLIFLOZIN,13042057.1741212,672,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=CC(CC2=CC=C(O[C@H]3CCOC3)C=C2)=C(Cl)C=C1,OBWASQILIWPZMG-QZMOQZSNSA-N,"InChI=1S/C23H27ClO7/c24-18-6-3-14(23-22(28)21(27)20(26)19(11-25)31-23)10-15(18)9-13-1-4-16(5-2-13)30-17-7-8-29-12-17/h1-6,10,17,19-23,25-28H,7-9,11-12H2/t17-,19+,20+,21-,22+,23-/m0/s1
",450.91,C23H27ClO7,396.0,,,1.54881661891248e-10,,14.27,1.59,1.55,9.45,1.59,191.0,,,8.45,,,0.0,,,9.54992586021437e-10,,0.0001071519305237,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENAZEPRIL,12855076.5060768,450,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,XPCFTKFZXHTYIP-PMACEKPBSA-N,"InChI=1S/C24H28N2O5/c1-2-31-24(30)20(14-12-17-8-4-3-5-9-17)25-19-15-13-18-10-6-7-11-21(18)26(23(19)29)16-22(27)28/h3-11,19-20,25H,2,12-16H2,1H3,(H,27,28)/t19-,20-/m0/s1
",424.497,C24H28N2O5,561.53,1.2815,355.817,1.28824955169313e-11,1.608,16.41,-0.16,-2.05,9.63,3.1695,149.0,116.097,335.824,4.02,,46.024,0.0,58.916,160.901,1.23595e-10,,6.9116e-05,,,,,,,,,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LORATADINE,12788412.1663492,1160,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2,JCCNYMKQOSZNPW-UHFFFAOYSA-N,"InChI=1S/C22H23ClN2O2/c1-2-27-22(26)25-12-9-15(10-13-25)20-19-8-7-18(23)14-17(19)6-5-16-4-3-11-24-21(16)20/h3-4,7-8,11,14H,2,5-6,9-10,12-13H2,1H3
",382.89,C22H23ClN2O2,475.55,1.2555,260.491,1.81970085860998e-08,1.614,19.19,5.2,5.18,11.7,5.32,135.5,105.853,303.548,8.63,,41.963,0.0,53.342,,2.26986e-10,,8.12830516164099e-06,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTRIPTYLINE,12676394.608546,291,CNCCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,PHVGLTMQBUFIQQ-UHFFFAOYSA-N,"InChI=1S/C19H21N/c1-20-14-6-11-19-17-9-4-2-7-15(17)12-13-16-8-3-5-10-18(16)19/h2-5,7-11,20H,6,12-14H2,1H3
",263.384,C19H21N,374.725,1.067,192.584,8.31763771102671e-08,1.633,21.69,-0.7,1.2,11.03,4.74,132.085,86.761,242.85,,10.71,34.395,0.0,47.336,,7.90679e-08,27.8612,8.16206e-05,,,7970.0,7970.0,,,500.0,500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIXABAN,12653845.1245868,1385,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,QNZCBYKSOIHPEH-UHFFFAOYSA-N,"InChI=1S/C25H25N5O4/c1-34-19-11-9-18(10-12-19)30-23-20(22(27-30)24(26)32)13-15-29(25(23)33)17-7-5-16(6-8-17)28-14-3-2-4-21(28)31/h5-12H,2-4,13-15H2,1H3,(H2,26,32)
",459.506,C25H25N5O4,576.165,1.409,399.114,2.34422881531992e-12,1.705,15.89,2.51,2.49,10.17,0.867,208.604,125.616,323.368,8.66,,49.798,0.0,60.964,,4.10204e-12,,1.02126854867946e-05,,,,,,,,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRABEGRON,12643181.8181818,328,[H]OC([H])(C1=C([H])C([H])=C([H])C([H])=C1[H])C([H])([H])N([H])C([H])([H])C([H])([H])C1=C([H])C([H])=C(N([H])C(=O)C([H])([H])C2=C([H])SC(=N2)N([H])[H])C([H])=C1[H],PBAPPPCECJKMCM-IBGZPJMESA-N,"InChI=1S/C21H24N4O2S/c22-21-25-18(14-28-21)12-20(27)24-17-8-6-15(7-9-17)10-11-23-13-19(26)16-4-2-1-3-5-16/h1-9,14,19,23,26H,10-13H2,(H2,22,25)(H,24,27)/t19-/m0/s1
",396.51,C21H24N4O2S,351.0,,,1.5848931924611098e-11,,16.69,1.33,1.33,9.46,1.33,156.0,,,13.86,,,0.0,,,1.9952623149688803e-09,,5.37031796370253e-06,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CETIRIZINE,12563985.2048455,1322,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,ZKLPARSLTMPFCP-UHFFFAOYSA-N,"InChI=1/C21H25ClN2O3/c22-19-8-6-18(7-9-19)21(17-4-2-1-3-5-17)24-12-10-23(11-13-24)14-15-27-16-20(25)26/h1-9,21H,10-16H2,(H,25,26)
",388.89,C21H25ClN2O3,488.6665,1.2395,275.4635,1.0471285480509e-10,1.589,11.27,0.14,-1.75,10.38,1.7,113.0,105.944,314.245,3.95,,42.0,0.0,49.4345,144.726,1.37721e-09,106.17,0.0003530705,,,,,,,,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIOGLITAZONE,12096707.044981,383,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,HYAFETHFCAUJAY-UHFFFAOYSA-N,"InChI=1/C19H20N2O3S/c1-2-13-3-6-15(20-12-13)9-10-24-16-7-4-14(5-8-16)11-17-18(22)21-19(23)25-17/h3-8,12,17H,2,9-11H2,1H3,(H,21,22,23)
",356.44,C19H20N2O3S,575.448,1.292,283.238,1.6218100973589302e-09,1.611,16.41,2.76,2.71,10.28,2.8505,198.25,98.212,282.775,8.28,,38.934,0.0,54.922,,2.71019e-09,,6.17448144129583e-05,,,,,,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
